,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
10,Riyadh,Al-Arid neighborhood,North,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000,"دوبلكس للايجار مساحة ٢٩٠م
مؤثث بالكامل 
في حال الاستئجار بدون اثاث متحرك يكون السعر
١٢٠ الف ريال شاملة المطبخ واجهزته والمكيفات والدواليب
تتكون الفيلا من : 
الدور الأرضي / غرفة سائق مجلس رجال + صالة طعام + صالة مفتوحة على مجلس النساء + جلسة خارجية + ..."
11,Riyadh,Press District,East,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,"للايجار فيلا درج صاله بحى الصحافة 
عبارة عن مدخل سيارة حوش واسع 
مجلس رجال ومجلس نساء 
ملقط وصاله مطبخ 
الدور العلوي 
5 غرفه نوم منهم غرفتين نوم ماستر 
وصاله 
السطح غرفه شغاله غرفه غسل 
والسطح واسع 
المطبخ راكبه المكيفات راكبه 
الفيلا مجدي بكامل 
قري..."
12,Riyadh,Benban district,North,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000,"مخطط الخير

للايجار او البيع فيلا زاوية

المساحة ٨٤٠م شوارع ١٥شرقي و١٥شمالي

المواصفات 
الدور الارضي اسقبال كامل

والدور الأول ٢غرفة نوم مع مساحة استخدام ٤غرف نوم ثاني

تقع فيلا شاليه أليجانس في الرياض، وعلى بعد 41 كم من الدرعية وميدان البجيري، كما ت..."
13,Riyadh,Al-Arid neighborhood,South,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000,فيلا للايجار بحي العارض تتكون من ملحق مجلس مقلط صاله وحوش كبير وفوق خمسه غرف نوم وصاله واربعه دورات مياه والسطح غرفه وصاله ودورتين مياه للتواصل 0540850810
14,Riyadh,Western Naseem neighborhood,East,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000,فله جديدة درج داخلي فخمه جدا حي راقي جميع المدارس والخدمات متوفر الكهرباء مستقله قريب المسجد وطريق خريص ممتازه جدا للسكن العايلي..حوش كبير يتسع ٣سيارات
15,Riyadh,prosperity district,East,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000,"الفيلا في حي الازدهار على شارعين متظاهرين شرقي ٢٠ وغربي ١٥
موقعها ممتاز وتصلح مقر لروضه لانها كانت مؤجرة لروضه
قريبة من الدائري الشرقي وطريق الإمام مخرج ٩"
16,Riyadh,Narcissus neighborhood,Northwest,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000,"حي النرجس بعد جامع السيف فلا تشطيب ⭐️⭐️⭐️⭐️⭐️
يوجد فيها شقتين مدخل مستقل 
فلا ابو ماجد فلا ابو ماجد فلا ابو ماجد 
مجموعة المغيرّي العقارية شمال الرياض
يمكن التواصل مع الزميل 
الاستاذ عبدالرحمن المشاري 
0552852289"
17,Riyadh,Malaz district,Southwest,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000,"فيلا للايجار دورين درج جانبي 

فناء خارجي ومسبح 

بدون مكيفات بدون مطبخ 

للاستفسار ابو احمد 
0533332881"
18,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000,"== للايجار فيلا دبلكس راقية جدا وموقعها ممتاز 

== الموقع حى العارض شمال الملك سلمان 

==مواصفات الفيلا ،،،،،،

===== الدور الارضى ====


== مجلس رجال == مقلط طعام == صاله عائلية 

== مطبخ راكب بفتح على الصاله والحوش 

== حوش امامى وحوش خلفى صغير  

..."
19,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
20,Riyadh,Jasmine neighborhood,South,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000,"للايجار فيلا درج صاله فقط حي الياسمين
بناء شخصي  ساكنها المالك 
مساحه ٣٣٩م شارع ١٥ م جنوبي
مدخل سيارة غرفة سائق ملحق خارجي مجلس رجال ونساء وصاله طعام مطبخ
الدور الاول 4غرف نوم وصاله السطح غرفة وسطح
موسس بلا كامل
تكييف اسبلت
الايجار دفع واحده
١٢٠ الف
..."
21,Riyadh,Al Munsiyah District,South,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000,فله درج داخلي جديدة مجالس تحت وفوق ٣غرف نوم للاجار بالمونسيه.....خوجا...موقع ممتاز وديكورات جبسيه
22,Riyadh,Solomaniah District,North,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000,"للايجار فيلا بحي السليمانية مساحه 
دبلكس مجلس ومقلط وصاله 
الدور الاول علوي 
٤غرف نوم  وصاله 
السطح غرفه شغاله ومكان غسيل 
عليها ٩٠الف"
23,Riyadh,Al-Arid neighborhood,East,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,"للايجار فيلا دبلكس فاخرة 
الفيلا شغل شخصى ممتاز
موقعها بحى العارض 
مواصفات الفيلا // الارضى 
مجلس رجال + مقلط طعام 
صاله عائلية + مطبخ + مستودع 
وحوش + مغاسل + دورتين مياة 
//// الدور العلوى ////
ثلاث غرف نوم ( غرفه ماستر رئيسيه )
//// السطح /////
غر..."
24,Riyadh,Al-Aqiq District,East,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000,"لايجار فيلا درج صالة 
حي العقيق 
شارع تجاري ٣٠ 
الدور الارضي استقبال كامل 
مجالس رجال و صالة طعام و مجلس نساء مع صالة 
مطبخ كبير 

الدور العلوي 
خمس غرف نوم 
مع صالة 
مع السطح مع المنافع 

مطلوب ايجار ٢٠٠ الف 
قابل للتفاوض"
25,Riyadh,Al Munsiyah District,Northwest,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000,"للإيجار فيلا جديده مستخدمه ثلاثة أشهر حي المونسية الغربيه موقع مميز جداً  قريبه من المطار ومن جميع الخدمات على شارعين  مطبخ راكب + فرن + ميكرويف +ثلاجات عدد ٢ +ومكيفات راكبة سبليت جميع الغرف + مكيف دولاب في الصاله  + غسالات اتوماتيك عدد ٣ 


 🔷 أسس ..."
26,Riyadh,Not sent by admin,the West,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000,"عمرها 18 سنة, حالتها ممتازة , شارع 20 , رخام , جبس ,سيراميك ,مكيغات سبيلت , مطبخ , ستائر"
27,Riyadh,Al-Aqiq District,the West,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000,"فيلا للايجار بالعقيق
مكونه من
مدخل سياره وملحق خارجي وحوش ومجلس رجال ومقلط وصاله ومطبخ بداخله مستودع صغير وغرفه كبار سن
وفوق ٤ غرف نوم وصاله
والسطح غرفه شغاله 
بدون بدون بدون مطبخ ولا مكيفات
الايجار ٨٠الف

و"
28,Riyadh,Al Munsiyah District,East,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000,"فيلا للايجار 

حي المونسية

دبلوكس

درج داخلي 

المكيفات سبيلت راكبة

المطبخ راكب

مجلس ومقلط وصالة ومطبخ

الدور الاول 4 غرف و صالة 

السطح 2 غرفة وسطح كبير


الايجار 50000 ريال

0568191192
0501690778
0582920639"
29,Riyadh,Rahmaniyah neighborhood,North,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000,للايجار فله فاخره استعمال نظيف بموقع متميز حي الرحمانيه يتوسط موقعها مابين طريق الملك فهد وطريق التخصصي وطريق العروبه وطريق الملك عبدالله مكيفه بالكامل يوجد غرفة سائق ومدخل سياره وغرفه خادمه الرجاء الاتصال
30,Riyadh,sand district,the West,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000,"فرصة ذهبية
فيلا درج صالة بالرمال الذهبي ممتاذة جدا يوجد صور  تواصل معنا وتس اب"
31,Riyadh,Qadisiyah neighborhood,the West,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000,"ايجار فيلا جديد دبلكس متلاصقه مشب مقلط مجلس رجال صالةغرفة كبارسن مطبخ هذا الارضي اربع غرف نوم ثنين غرفة نوم ماستر صاله كورنر صغير كوفي
الاول غرفة شغاله حمام سطح الثاني
باقي التفاصيل واتس......"
32,Riyadh,Narcissus neighborhood,East,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000,"للايجار فيلا درج صاله

شغل مودرن تصميم راقي جداً

بحي النرجس

عمرها سنة وحده

المساحه ٢٧٠م شارع ١٥شرقي 

تتكون من....
الدور الارضي استقبال بالكامل

حوش و مدخل سياره 🚐 و غرفة سائق
مجلس رجال و مقلط و صاله ومطبخ راكب
ومكيفات راكب اسبلت

الدور العلوي......"
33,Riyadh,sand district,Northwest,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000,"للإيـجار فله ب حي الـرمال على شارعين  درج داخلي تتكون من :-ء

الدور الأرضي 
مجالس استقبال + غرفة كبار سن + مطبخ + مستدوع
.
الدور الثاني 
غرفتين ماستر+ غرفة نوم مع دورات مياة +صاله
.
الدور الثالث 
غرفه خادمه مع سطح 
.
الموقع ممتاز جدا وقريب من جميع ال..."
34,Riyadh,Tuwaiq neighborhood,Southwest,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000,فيلا للاجار على دفعتين
35,Riyadh,Al-Malqa district,North,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000,"ماشاء الله تبارك الله فيلا بحي الملقا بمدينة الرياض دبلوكس جديدة بناء شخصي للايجار.

الدور الأرضي: مجلس رجال بدورة مياه، صالة، مطبخ مع توصيلة غاز مركزي فقط، مجلس نساء دورة مياه. 

الدور الأول: غرفة نوم رئيسية مع دورة مياه مؤسس لها جاكوزي، صالة، غرفة ..."
36,Riyadh,Jasmine neighborhood,North,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000,"للايجار فيلا دبلكس حي الياسمين
4 غرف نوم تحت مجالس مودرن مفتوحه علي بعض
مطبخ راكب ومكيفات 
غرفه خادمه غرفه غسيل غرفه سواق
مدخل سياره عمرها 3 سنوات
السعر 110 الف
لتواصل ابو زياد 0551613918"
37,Riyadh,Narcissus neighborhood,the West,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000,"فله مساحه ٣٠٠ م بحي النرجس شمال سلمان مباشره للايجار .
الارضي مجلس رجال وغرفه طعام وصالتين 
وغرفه خادمه مستقله 
ملحق مستقل بحمام
مطبخ راكب ..
بوفيه 
غرفة ملابس وغساله اوتماتيك .
الدور الاول ٣ غرف بحماماته منها وحده ماستر 
صاله بحمام..مكيفات راكبه اسب..."
38,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
39,Riyadh,Al-Maizala district,the West,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000,"إيجار فيلا درج داخلي حي المعزلية مساحة 300 متر 
الدور الارضي يتكون من
 مدخل سيارة و حوش و مجلس رجال مع حمام مياه و مقلط 
و صالة و حمام و مطبخ 
الدور الاول يتكون من
 صالة و أربع غرف نوم كلها  ماستر 
شارع 20 غربي الفيلا قريبة من الحديقة و الخدمات 
الاي..."
40,Riyadh,Knife District,North,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000,فيلا فاخره جديده في حي النزهه مكونه من مجلس - صاله طعام - صاله - ٤ غرف نوم -  مطبخ جديد - غرفه خادمه - غرفه غسيل ومستودع -غرفه سائق - مدخل سياره - وجميع الغرفه بها مكيفات اسبلت جديده - قريبه جداً من مدارس الرواد العالميه - قريبه من مستشفى الحمادي - ا...
41,Riyadh,Al-Maizala district,the West,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000,"فيلا للايجار     لن تستخدم  جديده   كن انت اول مستأجر  لمن يبحث عن الجميل والمنزل الراقي 
الفيلا علي شارع ٢٠
حي القادسيه الجديده 
تتكون من دور ارضي 
مقلط 
ومجلس
٢ دوره مياه 
مطبخ 
وصاله 
درج اعلا تتكون من 
٢ غرف ماستر 
٢ غرف عادي 
٢دوره مياه 
وصاله 
..."
42,Riyadh,Solomaniah District,the West,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000,"فيلا للايجار تقع في قلب حي العليا وجنوب طريق خريص خلف مستشفى ادما  وبالقرب 

التكييف مركزي لكامل الفيلا 

الدور الارضي مجلس - صالة طعام - وصاله ومطبخ ودورتين مياه وغرفة سائق ومدخل سياره ومسبح 

الطابق العلوي اربع غرف نوم ودورتين مياه 

القبو صالتين و..."
43,Riyadh,sand district,North,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000,"درج داخلى الرمال الواحه جديد موقع مميز 
يوجد ٤ مكيفات ومطبخ راكب جديد 
مطلوب ٤٥ألف 
الفيلا بحاله جيده 
مطلوب عائله خفيفه"
44,Riyadh,Al Munsiyah District,South,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000,"جديدددددددد🔄
فيلا درج داخلي،
استقبال تحت،
و٣ غرف نوم فوق،
وفوق غرفة غسيل..
المساحة ٣١٢ م
الشارع ١٥ جنوبي،
للايجار ٦٥ الف السنة.."
45,Riyadh,sand district,South,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000,"فيلا زاوية درج داخلى 
استقبال تحت أرضى مجلس وصالة وثلاثة غرف ومقلط..
فوق ثلاثة غرف نوم و صالة 
جديد بناء شخصى ..
حى الملك خالد طريق الثمامة...
55 الف دفعتين 
50 الف دفعة واحدة 
السعر قابل للتفاوض البسيط 
أضواء المساكن
أبو صلاح .....
رجاء مراسلتنا توا..."
46,Riyadh,sand district,the West,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"فيلا درج صالة جديدة برمال الواحة

فيلا للايجار بالخنيني
درج داخلي نظيفة جدا 
٣ غرف نوم وغرفة خادمة وغرفة كبار السن ومشب وحوش ومدخل سيارة 
٥٥٠٠٠ الف


فيلا ٣٥٠ درج داخلي حي مطار الملك خالد جنوب١٥ يوجد مسبح 4غرف نوم إجمالي الغرف٦
غرفة سائق وغرفة خادمة ..."
47,Riyadh,Al-Arid neighborhood,North,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"فله تصميم حلو نظيفه الدور الارضي الحوش فيه حديقه واستقبال مجلس رجال ودورة مياه ومغاسل الدور الأول غرفه ماستر وغرفتين بينهم حمام وجناح وصاله الدور الثاني غرفة خادمه مع حمام مع غسيل وسطح 
المكيفات والمطبخ راكب
الإيجار في السنه ١٠٠الف دفعتين 
تأمين ٥ ال..."
48,Riyadh,Qadisiyah neighborhood,the West,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000,"إيجار فيلا درج داخلي جديدة تمامآ تشطيب سوبر لوكس ممتازة جدآ
الدور الارضي يتكون من مدخل سيارة و حوش و مجلس رجال و مقلط و صالة كبيرة و مطبخ و اثنين غرفة كبار السن و ثلاث دورات مياه الدور الاول يتكون من أربع غرف نوم منهم اثنين ماستر و دورة مياه الدور ال..."
49,Riyadh,Qadisiyah neighborhood,the West,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000,"إيجار فيلا حي القادسية مساحة ٢٥٠ متر درج داخلي تتكون من مشب
مقلط
مجلس رجال
صالة
غرفة كبار سن
مطبخ 
هذا الارضي اربع غرف نوم 
ثنين غرفة نوم ماستر 
صاله
كورنر صغير كوفي
الاول غرفة شغاله 
حمام
سطح
الثاني الايجار سنوي ٥٥ الف"
50,Riyadh,Al Rabiea 'neighborhood,Southwest,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"للايجار فيلا بحي الربيع الشرقي مساحه 327م
زاوية جنوبيه غربية شوارع 15متر
تحت استقبال كامل 
مجلس ومقلط وصاله 
غرفه سائق 
مدخل سياره 
الدور الاول علوي 
4غرف نوم وصاله 
السطح غرفه شغاله ومكان غسيل 
ركب مكيفات 
بدون مطبخ
عليها 100الف"
51,Riyadh,Narcissus neighborhood,North,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000,"فله المساحه ٣٣٦متر درج صاله مجلس و صاله طعام وصاله ومطبخ ٢حمام مغاسل مصعد مسبح ٥غرف نوم غرفة سائق وغرفة خادمه العمر مايقارب سنه
الإيجار ١٤٠الف
تأمين ٥ الف
الموقع غير دقيق
0568811135 خالد"
52,Riyadh,Al-Arid neighborhood,East,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000,"فيلا للإيجار في حي النرجس

الأرضي: مجلس + صالة + مقلط + مجلس نساء + مطبخ + ملحق   
الأول: 5غرف نوم + 3غرف نوم ماستر+ غرفتين نوم ودورة مياه + غرفة ملابس

الثاني: غرفة خادمة + سطح 

مشاري

0556118008  

وائل الزارع

0535747576


   &&شركة باز التنمية ل..."
53,Riyadh,Al Munsiyah District,South,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000,"نظيفه 
قريبه من طريق الثمامه"
54,Riyadh,Jasmine neighborhood,North,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000,"فله مفصوله ٣١٢ م للايجار
تحت كراج ومجلسين رجال ونساء ومقلط 
٣ حمامات ومطبخ بدون سايق او ملحق
دور علوي
غرفتين بينهم حمام و٣ غرف وااسعه بحماماتها
وسطح به غرفتين وغسيل وسطح
الفله قرب مسجد
يوجد فيديو للجادين"
55,Riyadh,Dhahrat Laban District,Northwest,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000,"للإيجار فله في لبن دور ارضي مع مسروق على شارعين 20م
الدور الأرضي عباره عن مجلس ومقلط وصالة وغرفتين ومطبخ ودورتين مياه
والدور الثاني غرفتين ودورة مياه ( وممكن فتح شقة بجانب الدور المسروق ليصبح الدور العلوي ٤ غرف مع دورتين مياه + الغرفتين الأرضية ليصبح..."
56,Riyadh,Al-Arid neighborhood,North,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ..."
57,Riyadh,Rawda area,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"الجزء الثاني (يوجد جزء ثالث واخير )
======================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا ..."
58,Riyadh,Narcissus neighborhood,North East,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000,"للايجار فيلا درج صاله في حي النرجس 
شغله شخصية 
مكون من ٢ مدخل سياره 
وغرف سايق 
مدخل رجال ومدخل نساء 
وملحق خارجي وحمام
مجلس صاله مقلط 
٣غرف نوام ومطبخ راكب 
الدور الأول ٣غرف نوام وصاله 
٥حمام
مكيفات اسبلت راكب 
شغله شخصية 
الفلا تفتح علي ٣شوارع
غرب..."
59,Riyadh,Al-Aqiq District,North,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000,"للإيجار فيلا ممتازه vip حي عقيق الموسىمكونه من الدور الارضي غرفة سائق بدورة مياه ملحق خرجي كراج سيارة حوش كبير
مجلس و مجلط و صاله كبيره و مطبخ و دورين مياه 
الدور الاول مكون من ٤ اجنحه وصاله كبيره و ٤ دورات مياه 
الدور الثاني مكون من غرفتين و صاله و ..."
60,Riyadh,Al Alia District,North,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000,حي العليا جنوب شارع الامير سلطان
61,Riyadh,Okaz neighborhood,East,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"المساحه ٣٦٠  
حديقه وشلال و٦ غرف نوم وملحق خارجي مع مشب  
تحت استقبال مجلس رجال ومجالس نساء وصاله ومقلط ومدخل سياره جديده لم يسكن فيها احد من قبل
الموقع غير دقيق 
للتواصل واتس اب او اتصال 
٠٥٣٣٨٨٣١٥٩
نقدم افضل التمويلات العقارية ✅✅
ونحن نتعامل مع جمي..."
62,Riyadh,Al Wurud District,the West,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000,"فيلا للايجار في منطقه حيويه تحتاج الى اعاده تأهيل وبالامكان تخفيض الايجار للسنه الأولى بمقابل عمل الاصلاحات والترميم
علماً بأن الايجار الفعلي للفيلا 160ألف . 
تناسب الافراد والمقيمين لوقوعها في المنطقه الحيويه 
للتواصل 
0530005055منصور.              ..."
63,Riyadh,Narcissus neighborhood,North East,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000,"للايجار فيلا درج صاله في حي النرجس 
شغله شخصية 
مكون من ٢ مدخل سياره 
وغرف سايق 
مدخل رجال ومدخل نساء 
وملحق خارجي وحمام
مجلس صاله مقلط 
٣غرف نوام ومطبخ راكب 
الدور الأول ٣غرف نوام وصاله 
٥حمام
مكيفات اسبلت راكب 
شغله شخصية 
الفلا تفتح علي ٣شوارع
غرب..."
64,Riyadh,Al Munsiyah District,East,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000,"فيلا للايجار ثلاث ادوار درج داخلي 
حي المونسية مربع 37 
قريبة من طريق الصحابة 
الدور الاول 
مدخل سيارة 
مقلط صالة مجلس + 2 دورة مياة 
مطبخ + مستودع + حوش غسيل 
الثاني 
4 غرف نوم + صالة + 3 دورات مياة 
الدور الثالث 
4 غرف نوم + دورتين مياة + صالة 
الا..."
65,Riyadh,Rawda area,South,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"الجزء الثالث والاخير للتصوير
==================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا من ( 3 مداخ..."
66,Riyadh,Al-Malqa district,South,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000,فلة للإيجار في حي الملقا راكب مكيفات ومطبخ مجددة الارضي مجلس ومقلط وصالة ومدخل سيارة والعلوي ٤ غرف نوم والسطح ٥رفتين وغرفة شغالة وغسيل  ب ٨٥ الف دفعتين
